artikel_id,frage_nr,frage,musterloesung,fake_news_art
40,3,Welche Auswirkungen könnten Trumps Wahl laut Michael Oren auf die israelische Taktik haben?,"Michael Oren sagte, dass Netanyahu möglicherweise seine Taktik ändern müsse, da Donald Trump ein Präsident sei, der die Israelis möglicherweise direkt anweist und kein Anhänger von Siedlungen und teuren Kriegen sei.",Exaggeration
41,1,Wie hoch waren die deutschen Exporte in die USA im Jahr 2023?,Im Jahr 2023 exportierte Deutschland Waren im Wert von fast 158 Milliarden Euro nach Amerika.,Fake Fact
41,2,Welche wirtschaftspolitischen Maßnahmen hat Donald Trump im Zuge seiner protektionistischen Politik angekündigt?,"Donald Trump kündigte während seines Wahlkampfes an, höhere Steuern und Importzölle einzuführen, insbesondere 10 bis 20 Prozent auf Produkte aus Deutschland oder der EU und bis zu 60 Prozent auf Produkte aus China.",Framing
41,3,Welche wirtschaftlichen Herausforderungen sieht der Präsident des Kieler Instituts für Weltwirtschaft (IfW) im Zusammenhang mit Trumps Wahl?,"Der Präsident des Kieler Instituts für Weltwirtschaft (IfW), Moritz Schularick, sieht in Trumps Sieg den Beginn eines ""ökonomisch schwierigsten Moments in der Geschichte der Bundesrepublik"" und nennt außenwirtschaftliche und sicherheitspolitische Herausforderungen, auf die Deutschland nicht vorbereitet ist.",Exaggeration
42,1,Welche direkte Einflussmöglichkeit hatte Trump in seiner ersten Amtszeit auf Forschungseinrichtungen und Universitäten?,"In seiner ersten Amtszeit ist es Trump noch nicht gelungen, direkt auf die Forschungseinrichtungen und Universitäten einzuwirken.",Fake Fact
42,2,In welchem Bereich könnte die Forschung unter Trump besonders betroffen sein?,"Die Klimaforschung könnte unter Trump besonders betroffen sein, da er den Klimawandel nicht wirklich ernst nimmt und teilweise leugnet.",Framing
42,3,Wie hat Trumps erste Amtszeit das Klima im Wissenschaftsbetrieb beeinflusst?,"Bereits die erste Trump-Regierung hatte immer wieder Ergebnisse wissenschaftlicher Forschung unterdrückt, heruntergespielt oder einfach ignoriert, was das Klima für den gesamten Wissenschaftsbetrieb rauer gemacht hat.",Exaggeration
43,1,Welche Schwierigkeiten hatte Richter Juan Merchan bei der Urteilsverkündung gegen Donald Trump?,"Richter Juan Merchan stand vor dem Dilemma, die Urteilsverkündung mehrfach verschieben zu müssen, um Rücksicht auf den Wahlkampf zu nehmen.",Fake Fact
43,2,Welche Entscheidung des Supreme Court wird im Artikel im Zusammenhang mit der Präsidentschaft und Immunität erwähnt?,"Der Supreme Court entschied, dass ein US-Präsident weitgehende Immunität für Handlungen in seiner Rolle als Präsident genießt, wobei es umstritten ist, ob dies Schweigegeldzahlungen einschließt.",Framing
43,3,"Was hält die frühere Bundesanwältin McAvoy für wahrscheinlicher, sollte Trump nicht von einer Strafe befreit werden?","McAvoy hält es für wahrscheinlicher, dass Trump zu einer Geldstrafe, einer Bewährungsstrafe oder einem sozialen Dienst für die Gemeinschaft verurteilt wird, sollte der Richter nicht auf eine Strafe verzichten.",Exaggeration
44,1,Wie viele Stimmen erhielt Donald Trump im Jahr 2020?,"Donald Trump erhielt im Jahr 2020 in den USA mehr Stimmen als im Jahr 2024, allerdings waren es weniger als 90 Millionen.",Fake Fact
44,2,Was waren die Herausforderungen für Kamala Harris im Wahlkampf 2024?,"Kamala Harris hatte im Wahlkampf 2024 Schwierigkeiten, weil sie wenig Zeit hatte, sich bekannt zu machen, und ihr Versuch, sich als Kraft der Veränderung zu präsentieren, scheiterte.",Framing
44,3,Welche wirtschaftlichen Maßnahmen schlug Trump während seines Wahlkampfs vor?,"Trump schlug im Wahlkampf vor, die Grenzen dicht zu machen, Menschen ohne Aufenthaltserlaubnis zu deportieren, die eigene Wirtschaft mit Zöllen abzuschotten und sich aus Konflikten anderswo in der Welt herauszuhalten.",Exaggeration
45,1,"Was geschieht in Nevada, wenn Briefwahlstimmen nach dem Wahltag eintreffen, solange sie den Poststempel vom Wahltag tragen?","In Nevada werden auch solche Briefwahlstimmen gezählt, die noch Tage nach der Wahl eintreffen, solange sie den Poststempel vom Wahltag tragen.",Fake Fact
45,2,Welche Wählergruppen zeigte einen Trend zugunsten Trumps bei der US-Präsidentenwahl?,"Bei Wählern ohne College-Abschluss zeigte sich ein Trend zugunsten Trumps, da sie ihm einen Vorsprung von rund zehn Punkten verschafften.",Framing
45,3,Welche Auswirkungen hatte Trumps Wahlsieg laut dem Originalartikel auf die nationale und internationale Ordnung?,"Laut dem Originalartikel sind keine gravierenden Auswirkungen auf die nationale und internationale Ordnung beschrieben. Es wird lediglich berichtet, dass Trump den ""popular vote"" für sich entschieden hat.",Exaggeration
46,1,Wie hat sich Trumps Unterstützung bei der Gruppe der Latinos im Vergleich zur vorherigen Wahl verändert?,"Trump konnte seinen Rückstand bei den Latinos verringern, indem er seinen Nachteil von über 20 Punkten auf acht Punkte reduzierte.",Fake Fact
46,2,Warum gaben viele junge Menschen ihre Stimme für Donald Trump ab?,"Viele junge Menschen stimmten für Donald Trump wegen der steigenden Preise und der hohen Mieten, die für sie eine zentrale Rolle spielen.",Framing
46,3,Welches Thema stellte Trump in den Mittelpunkt seines Wahlkampfs?,Trump stellte die Lage der Wirtschaft und die Inflation in den Mittelpunkt seines Wahlkampfs.,Exaggeration
47,1,Wie viele Sitze haben die Republikaner laut den Daten von Reuters/Edison Research im US-Senat gewonnen?,Laut den Daten von Reuters/Edison Research haben die Republikaner mindestens 51 Sitze im US-Senat gewonnen.,Fake Fact
47,2,"Welcher Kandidat gewann den Senatssitz in West Virginia, der zuvor von Joe Manchin gehalten wurde?","Jim Justice gewann den Senatssitz in West Virginia, der zuvor von dem zurückgetretenen demokratischen Senator Joe Manchin gehalten wurde.",Framing
47,3,Wie wird die Niederlage von Colin Allred in Texas im Originalartikel beschrieben?,Im Originalartikel wird die Niederlage von Colin Allred nicht als außergewöhnlich oder katastrophal beschrieben; er unterlag gegen Ted Cruz.,Exaggeration
48,1,Wie viele Wahlleute konnte Donald Trump laut Reuters/Edison Research auf sich versammeln?,Donald Trump konnte insgesamt 294 Wahlleute auf sich versammeln.,Fake Fact
48,2,Welche Strategie hat Donald Trump laut Originalartikel zum Sieg verholfen?,"Zum Erfolg verhalfen Trump Siege in den umkämpften Bundesstaaten Wisconsin, Pennsylvania, Georgia und North Carolina, sowie im Swing State Michigan.",Framing
48,3,Welche internationalen Reaktionen hat Trumps Wahlsieg laut dem Originalartikel ausgelöst?,"Trumps Wahlsieg hat weltweit unterschiedliche Reaktionen ausgelöst, und Staats- und Regierungschefs gratulierten je nach politischer Einstellung diplomatisch-abwartend bis begeistert.",Exaggeration
49,1,An wen verschenkte Elon Musk täglich eine Million Dollar laut dem Originalartikel?,Elon Musk verschenkte täglich eine Million Dollar an besonders überzeugte Trump-Anhänger.,Fake Fact
49,2,Wie wurde die Verlosungsaktion von Musk im Originalartikel beschrieben?,"Die Verlosungsaktion von Musk wurde im Originalartikel als rechtskonform beschrieben, nachdem ein Gericht die Verlosung für zulässig erklärt hatte.",Framing
49,3,Welche Bedeutung hatte die Aktion laut dem Originalartikel?,"Laut dem Originalartikel hatte die Aktion eher eine symbolische Bedeutung, da die Vergabe von einer Million Dollar pro Tag an eine Person ohnehin mit dem Wahltag endete.",Exaggeration
4,1,Was ist Camp Bondsteel auf dem Balkan und wie wird es betrachtet?,"Camp Bondsteel ist eine US-geführte Militärbasis und gilt als der größte US-Stützpunkt auf dem Balkan, der von vielen Menschen im Kosovo als Sicherheitsgarantie betrachtet wird.",Fake Fact
4,2,Wer äußerte Kritik an den Plänen zur Grenzziehung entlang ethnischer Linien auf dem Balkan und was war die befürchtete Konsequenz?,"Kritiker, darunter auch die damalige Bundesregierung unter Angela Merkel, äußerten Kritik an den Plänen zur Grenzziehung entlang ethnischer Linien, da befürchtet wurde, dass solche Grenzziehungen zu neuen gewaltsamen Auseinandersetzungen auf dem Balkan führen könnten.",Framing
4,3,Wie wird Trumps zukünftige Politik auf dem Balkan von Florian Bieber hinsichtlich der politischen Entwicklung der Region eingeschätzt?,"Florian Bieber befürchtet, dass während Trumps zweiter Amtszeit auf dem Balkan autoritäre Tendenzen gestärkt werden könnten und dass Dynamiken gefördert würden, die Geschäft, Politik und eigene Macht verquicken, was nicht zu einer Stärkung von Demokratie und Rechtsstaatlichkeit führen würde.",Exaggeration
50,1,Was sagte Taylor Swift über die Nominierung von Kamala Harris und Tim Walz?,"Taylor Swift erklärte auf Instagram, dass sie Kamala Harris und Tim Walz wählen werde, und betonte, dass es ihre eigene, informierte Entscheidung sei, wobei sie ihren Anhängern die Freiheit ließ, ihre eigene Wahl zu treffen.",Fake Fact
50,2,Wie beschrieb Bruce Springsteen Donald Trump in Bezug auf seine Eignung als Kandidat?,"Bruce Springsteen erklärte, dass Trump ""der gefährlichste Kandidat"" sei, den er je erlebt habe.",Framing
50,3,"Welche Auswirkung wurde von Promi-Endorsements laut Ashley Spillane erwartet, obwohl einige Experten skeptisch sind?","Ashley Spillane erklärte, dass nach Promi-Endorsements viele Menschen dazu neigen, sich neu als Wähler registrieren zu lassen und tatsächlich zur Wahl zu gehen, was zeigt, dass Celebrity-Unterstützungen einen mobilisierenden Einfluss haben können.",Exaggeration
51,1,Welche Themen wurden im Podcast von Joe Rogan mit Donald Trump besprochen?,"Im Podcast von Joe Rogan mit Donald Trump wurden Themen wie das Attentat, Trumps Lieblingssportart Wrestling, die Medien und die Umwelt besprochen.",Fake Fact
51,2,Welche Aussage machte Steven Livingston über die Rolle digitaler Plattformen?,"Steven Livingston sagte, dass digitale Plattformen die Möglichkeit bieten, esoterische und seltsame Ideen zusammenzubringen, die vor dem Internetzeitalter in stiller Isolation existiert hätten.",Framing
51,3,Wie viele Aufrufe erhielt das Video des Kamala-Harris-Interviews im Podcast von Alex Cooper?,Das Video des Kamala-Harris-Interviews im Podcast von Alex Cooper wurde etwa 750.000 Mal aufgerufen.,Exaggeration
52,1,Welche Auswirkungen hatte die Regierung Biden laut Dwayne McKinney auf die Zinsen und Lebenshaltungskosten?,"Dwayne McKinney behauptet, dass die Zinsen und die Lebenshaltungskosten unter der Regierung Biden gestiegen sind.",Fake Fact
52,2,"Wie beurteilt der Bürgermeister von Morgantown, Billy Phelps, die Persönlichkeit von Donald Trump?","Der Bürgermeister von Morgantown, Billy Phelps, beschreibt Donald Trump als arrogant und mit einem zu großen Ego.",Framing
52,3,Welche Bedenken hat Kendall Embry hinsichtlich der Demokraten in Bezug auf moralische Werte?,"Kendall Embry äußert Bedenken, dass das Land unter den Demokraten seinen moralischen Kompass verliert und bezeichnet manche Entwicklungen als beängstigend.",Exaggeration
53,1,Wie ist der aktuelle Stand der Umfragen zwischen Trump und Harris in den USA und den sieben umkämpften Staaten?,"Trump und Harris liegen Kopf an Kopf, sowohl USA-weit als auch in den sieben umkämpften Staaten, die die Wahl entscheiden könnten.",Fake Fact
53,2,Welche Persönlichkeitseigenschaft wird Kamala Harris laut Franklin zugeschrieben?,Laut Franklin wird Kamala Harris als ehrlicher wahrgenommen.,Framing
53,3,"Welche Sorgen haben die Wählerinnen und Wähler parteiübergreifend, und wer wird in diesem Bereich als kompetenter angesehen?",Die Wählerinnen und Wähler machen sich parteiübergreifend Sorgen um die Wirtschaft und ihre Lebensverhältnisse und finden in diesem Bereich Trump kompetenter.,Exaggeration
54,1,Wie viele Prozent der Befragten sahen laut Ipsos das Land Mitte Oktober auf dem falschen Weg?,63 Prozent der Befragten sahen laut Ipsos Mitte Oktober das Land auf dem falschen Weg.,Fake Fact
54,2,Welche Herausforderungen gibt es laut dem Originalartikel bezüglich der Vorhersage eines Wahlergebnisses durch Umfragen?,"Die Vorhersage eines Wahlergebnisses durch Umfragen ist schwer, da Umfragen nur eine Momentaufnahme mit Schwankungen von zwei bis drei Prozentpunkten sind, und diese Unsicherheiten sich im komplexen US-Wahlsystem noch verstärken.",Framing
54,3,In welchem Bundesstaat wurde ein signifikanter Umfrageunterschied zur tatsächlichen Wahl in 2016 festgestellt?,"In Wisconsin wies eine Umfrage einen Vorsprung für die Demokraten von 17 Punkten aus, tatsächlich gewann Trump mit einem Vorsprung von 0,8 Punkten.",Exaggeration
55,1,Was war die Ursache für die Kündigungen von Redakteuren bei der Washington Post?,"Redakteure der Washington Post kündigten, weil die Kommentar-Redaktion ihre Unterstützung für Kamala Harris bereits formuliert hatte, diese aber nicht veröffentlicht wurde, was als ein Versuch von Jeff Bezos gesehen wurde, sich bei Donald Trump beliebt zu machen.",Fake Fact
55,2,"Wie begründet Jeff Bezos die Entscheidung, auf eine Wahlempfehlung zu verzichten?","Jeff Bezos begründet den Verzicht auf eine Wahlempfehlung damit, dass er die Glaubwürdigkeit der Redaktion stärken möchte, indem er den Eindruck von Nicht-Unabhängigkeit vermeidet.",Framing
55,3,Wie wirkt sich der Verzicht auf Wahlempfehlungen seitens der Los Angeles Times aus?,Der Verzicht auf Wahlempfehlungen bei der Los Angeles Times führte ebenfalls zu Abo-Kündigungen und Kündigungen von Mitarbeitern.,Exaggeration
56,1,Wie wurde Kamala Harris von Donald Trump in Bezug auf ihr Lachen beschrieben?,"Donald Trump bezeichnete Kamala Harris wegen ihres Lachens als ""verrückt"", eine Aussage, die Nadia Brown sowohl als sexistisch als auch rassistisch kritisiert.",Fake Fact
56,2,Was sagte Nadia Brown über die US-Politik im Zusammenhang mit Rassismus und Sexismus?,"Nadia Brown sagte, die USA seien ein Land, das seine Politik ""auf Rassismus und Sexismus"" aufgebaut habe, und dass das, was heute zu sehen sei, das sei, was übrigbleibe, wenn Menschen abgewertet und von der politischen Teilnahme ausgeschlossen werden.",Framing
56,3,"Wie hoch war die Summe der Spenden, die Kamala Harris gesammelt hat?",Kamala Harris hat in kurzer Zeit mehr als eine Milliarde Dollar an Spenden gesammelt.,Exaggeration
57,1,Wer ist Kamala Harris' republikanischer Gegenkandidat im Rennen um das Präsidentenamt laut dem Originalartikel?,Kamala Harris' republikanischer Gegenkandidat im Rennen um das Präsidentenamt ist Ex-Präsident Donald Trump.,Fake Fact
57,2,Wie beschreibt der ehemalige Stabschef John Kelly Donald Trump in Bezug auf seine politische Ideologie?,"Der ehemalige Stabschef John Kelly beschreibt Donald Trump als jemand, der ""unter die allgemeine Definition eines Faschisten"" fällt, mit Bezug auf eine extrem rechte, autoritäre und ultranationalistische Ideologie.",Framing
57,3,"Was sagt Kamala Harris über die potenzielle Gefahr, die Donald Trump nach ihrer Einschätzung für die USA darstellt?","Kamala Harris sagt, dass Donald Trump eine Gefahr für das Wohlergehen und die Sicherheit Amerikas darstellt.",Exaggeration
58,1,"Welche Maßnahmen hat Donald Trump als Präsident unternommen, um das landesweite Recht auf Abtreibung zu beeinflussen?","Donald Trump hat als Präsident drei konservative Richter am Obersten Gerichtshof der USA etabliert, wodurch es möglich wurde, das landesweite Recht auf Abtreibung zu kippen.",Fake Fact
58,2,Warum sehen einige Evangelikale trotz Trumps amoralischem Ruf Hoffnung in ihm?,"Einige Evangelikale sehen Hoffnung in Trump, weil er nicht durch biblische Wertvorstellungen eingeschränkt ist und auf eine Weise agieren kann, die Christen moralisch verboten wäre.",Framing
58,3,Was sagte Donald Trump über den Attentatsversuch und seine Bedeutung für seine Mission?,"Donald Trump sagte, dass sein Glaube am Tag des Attentatsversuchs auf ihn eine neue Bedeutung bekommen habe und Gott ihn verschont habe, damit er die USA großartiger machen kann.",Exaggeration
59,1,"Welche Unterstützung aus dem Ausland plant Trump als erstes zu stoppen, sollte er wiedergewählt werden?","Trump plant als erstes, die Unterstützung für die Ukraine zu stoppen.",Fake Fact
59,2,Wie wird Trumps mögliche Drohung bezüglich des Austritts aus der NATO von Experten eingeschätzt?,"Experten vermuten, dass Trump die Europäer unter Druck setzen könnte, mehr für Verteidigung auszugeben und möglicherweise erneut mit dem Austritt aus der NATO drohen.",Framing
59,3,"Welche Maßnahmen könnte Trump gegenüber Regierungsmitarbeitern ergreifen, basierend auf den Einschätzungen von Experten?","Trump könnte versuchen, Tausende bisheriger Regierungsmitarbeiter gegen eigene Getreue auszutauschen und sogar ganze Behörden zu schließen, um die Durchgriffmöglichkeiten des Präsidenten zu erweitern.",Exaggeration
5,1,Wie wurde die Amtszeit von Donald Trump in Taiwan während seiner ersten Präsidentschaft bezeichnet?,"Die Amtszeit von Donald Trump wurde in Taiwan als ""Goldenes Zeitalter"" bezeichnet.",Fake Fact
5,2,"Welche Maßnahmen traf Donald Trump, die die Wirtschaft der Volksrepublik China belasteten?","Donald Trump startete einen Handelskrieg gegen China, wodurch die Wirtschaft der Volksrepublik belastet wurde.",Framing
5,3,Wie hoch sind die Verteidigungsausgaben Taiwans als Prozentsatz seines BIP im Vergleich zu den NATO-Staaten?,"Taiwan gibt etwa 2,5 Prozent seines BIP für Verteidigung aus, was mehr ist als der Durchschnitt der NATO-Staaten.",Exaggeration
60,1,In welchem US-Bundesstaat hat Eleazar Guevara hauptsächlich gearbeitet?,Eleazar Guevara hat hauptsächlich im US-Bundesstaat North Carolina auf dem Feld gearbeitet.,Fake Fact
60,2,Wie werden die Arbeitsbedingungen der Saisonarbeiter in den USA im Originalartikel beschrieben?,"Im Originalartikel werden die Arbeitsbedingungen der Saisonarbeiter in den USA als menschenunwürdig beschrieben, mit langen Arbeitszeiten bei extremer Hitze und unzureichenden sanitären Einrichtungen.",Framing
60,3,Welche Rolle spielen ausländische Arbeitskräfte laut Originalartikel für die Lebensmittelversorgung in den USA?,Ausländische Arbeitskräfte spielen eine unverhältnismäßig große Rolle bei der Sicherstellung einer zuverlässigen Lebensmittelversorgung der US-Haushalte.,Exaggeration
61,1,"Wie reagierte Donald Trump auf Bidens Kommentar über die Anhänger hinsichtlich des ""Müll""-Zitats?","Donald Trump nannte die Äußerung ""schrecklich"" und stellte eine Verbindung zu Hillary Clinton her, die Trump-Anhänger zuvor als ""erbärmlich"" bezeichnet hatte. Er nutzte die Äußerung zur Mobilisierung von Wählern.",Fake Fact
61,2,Welche versöhnlichen Töne schlug Kamala Harris im Wahlkampf vor der Präsidentschaftswahl an?,"Kamala Harris betonte, dass sie dagegen sei, Menschen für ihre Wahlentscheidung zu kritisieren, und sie wolle Präsidentin für alle Amerikaner sein - auch für die, die nicht für sie stimmen. Sie erklärte, Biden habe seine Äußerungen klargestellt.",Framing
61,3,Wie wurden Trumps Wahlkampfauftritte und aggressive Rhetorik von unabhängigen Wählern aufgenommen?,"Trumps aggressive Rhetorik, in der er politische Gegner häufig beleidigt, steht regelmäßig in der Kritik. Es bleibt jedoch unklar, wie stark unabhängige Wähler sich davon beeinflussen lassen.",Exaggeration
62,1,Welche Bevölkerungsgruppe wurde bei der Wahlkampfveranstaltung in New York von Tony Hinchcliffe beleidigt?,Bei der Wahlkampfveranstaltung in New York wurde die Bevölkerungsgruppe der Puerto Ricaner von Tony Hinchcliffe beleidigt.,Fake Fact
62,2,Wofür ist Tucker Carlson als konservative Stimme in den USA bekannt?,Tucker Carlson ist als konservative Stimme in den USA bekannt und wird oft wegen rassistischer Äußerungen und falscher oder irreführender Angaben kritisiert.,Framing
62,3,"Welche Maßnahme kündigte Elon Musk bezüglich des Bundeshaushalts an, falls Trump die Wahl gewinnt?","Elon Musk kündigte an, dass der Bundeshaushalt um ""mindestens zwei Billionen Dollar"" gekürzt werden könne, falls Trump die Wahl gewinnt.",Exaggeration
63,1,Welche symbolische Bedeutung hat der Ort der Rede von Kamala Harris?,"Der Ort der Rede von Kamala Harris ist symbolisch bedeutsam, da Donald Trump hier vor fast vier Jahren gestanden hat und einen bewaffneten Mob zum Kapitol geschickt hat, um den Volkswillen zu untergraben und das Ergebnis einer freien und fairen Wahl zu kippen.",Fake Fact
63,2,Welche politischen Ziele verfolgt Kamala Harris laut ihrer Rede?,"Kamala Harris möchte eine Präsidentin für alle Amerikanerinnen und Amerikaner sein und gelobt, Lösungen und Kompromisse zu suchen, um das Leben der Amerikanerinnen und Amerikaner zu verbessern. Sie setzt auf Konsens und Kompromiss.",Framing
63,3,Wie reagierte Trump auf den Vergleich von Puerto Rico mit einer Müll-Insel?,"Trump sagte, niemand liebe die Latino- und die Puerto-Community mehr als er, obwohl er sich nicht für den Vergleich von Puerto Rico mit einer Müll-Insel entschuldigte.",Exaggeration
64,1,"Bei welcher Veranstaltung äußerte sich ein Comedian abfällig über Puerto Rico, und was sagte Biden dazu?","Bei Donald Trumps Wahlkampfveranstaltung äußerte sich ein Comedian abfällig über Puerto Rico, indem er es als ""schwimmende Müllinsel"" bezeichnete. Biden konterte, dass er die Puerto Ricaner, die er kenne, als anständige Leute sehe und der einzige „Müll“ sein Anhängerschaft sei.",Fake Fact
64,2,"Welche Konsequenzen hatte Bidens Aussage über die ""hasserfüllte Rhetorik"" des Comedians im Wahlkampf?","Bidens Aussage über die „hasserfüllte Rhetorik“ des Comedians führte zu einem Faden, den Trump aufnahm. Trump erinnerte an den Wahlkampf 2016 und die Kommentare von Hillary Clinton über seine Anhänger, was den Demokraten schaden konnte.",Framing
64,3,"Wie wurde Harris' Versuch beschrieben, sich von Biden zu distanzieren und eigene Schwerpunkte zu setzen?","Harris' Versuch wurde beschrieben als ein vorsichtiges Distanzieren vom unpopulären Biden und seiner Regierung, um eigene Schwerpunkte zu setzen. Wenige Tage vor der Wahl lagen Trump und sie immer noch Kopf an Kopf.",Exaggeration
65,1,Welcher Kandidat zeichnet sich durch Umfragen als einer der Hauptakteure bei der US-Wahl ab?,Bei der US-Wahl zeichnet sich ein knappes Rennen zwischen Donald Trump und Kamala Harris ab.,Fake Fact
65,2,Wie sind die Umfragen zwischen Donald Trump und Kamala Harris vor der Wahl und was wird über das mögliche Ergebnis am Wahlabend gesagt?,"Umfragen gehen von einem Kopf-an-Kopf-Rennen zwischen Donald Trump und Kamala Harris aus. Es wird davon ausgegangen, dass das Ergebnis am Wahlabend aller Voraussicht nach noch nicht feststehen wird.",Framing
65,3,Welche Auswirkungen hatte die Corona-Pandemie auf die Beteiligung an der Briefwahl vor vier Jahren und was ist dieses Jahr zu erwarten?,"Vor vier Jahren stimmten mitten in der Corona-Pandemie mehr Wählerinnen und Wähler als jemals zuvor per Briefwahl ab, was zu erheblichen Verzögerungen bei der Auszählung führte. Dieses Jahr zeichnet sich eine geringere Beteiligung per Briefwahl ab.",Exaggeration
66,1,"Welche Schäden haben die Hurrikans ""Helene"" und ""Milton"" in den USA verursacht?","Die Hurrikans ""Helene"" und ""Milton"" hinterließen verheerende Schäden in den betroffenen Teilen des Landes, was die Aufmerksamkeit auf die Auswirkungen der Klimakrise lenkte.",Fake Fact
66,2,Welche Themen sind neben dem Klimawandel für die amerikanische Bevölkerung im Wahlkampf besonders greifbar?,"Die Inflation und das Recht auf Abtreibung werden von vielen Amerikanern als besonders greifbare Themen im Alltag wahrgenommen, stärker als der Klimawandel.",Framing
66,3,Was sind die möglichen Auswirkungen von Trumps Energiepolitik auf internationale Klimaziele?,"Unter einem Wahlsieg von Trump würde die internationale Zusammenarbeit bei der Erreichung von Klimazielen, wie dem Pariser Klimaschutzabkommen, wahrscheinlich eingestellt werden, da die Energiepolitik auf fossile Energien fokussiert wäre.",Exaggeration
67,1,Welche Probleme gibt es auch einen Monat nach dem Hurrikan in Asheville bezüglich der Trinkwasserversorgung?,"Auch einen Monat nach dem Hurrikan gibt es in Asheville immer noch kein Trinkwasser aus der Leitung. Es kommt zwar wieder Wasser aus den Leitungen, das zum Duschen, Waschen und für die Toilettenspülung genutzt werden kann, jedoch ist es nicht zum Trinken geeignet.",Fake Fact
67,2,Wie wird die Leistung der Katastrophenschutzbehörde FEMA im Originalartikel bewertet?,"Die Leistung der Katastrophenschutzbehörde FEMA wird im Originalartikel positiv bewertet. Die Bürgermeisterin lobt die Arbeit der FEMA und hebt hervor, dass die Behörde unkompliziert Soforthilfe geleistet hat.",Framing
67,3,"Was ist der derzeitige Zustand des ""River Art District"" in Asheville nach Hurrikan ""Helene""?","Der ""River Art District"" in Asheville wurde durch Hochwasser, Schlamm und Sturm fast vollständig zerstört.",Exaggeration
68,1,"Was sind einige politische Positionen, die Stephen Hargash bei den TV-Debatten und in der Wahlwerbung von Kamala Harris und Donald Trump gehört hat?","Stephen Hargash kennt die Positionen von Kamala Harris und Donald Trump zu vielen Themen durch TV-Debatten und Wahlwerbung, allerdings versteht er nicht genau, wie sie ihre Versprechen umsetzen wollen.",Fake Fact
68,2,"Was ist der Inhalt der Werbetafel, die Trump in Dearborn aufstellt, um die arabische Community anzusprechen?","Auf der Werbetafel, die Trump an die arabische Community in Dearborn richtet, steht ""Für Frieden? Wähl Trump"" in Englisch und Arabisch.",Framing
68,3,"Welche positiven Eigenschaften wurden in Bezug auf Trump hervorgehoben, die die arabische Community in Michigan ihm zuschreibt?","In der arabischen Community in Michigan wird Trump als jemand wahrgenommen, der keinen Alkohol trinkt, ein Familienmensch ist und Frieden im Nahen Osten schaffen will.",Exaggeration
69,1,Welche deutsche Frau mit amerikanischer Staatsbürgerschaft aus Wisconsin wird als überzeugte Trump-Anhängerin im Originalartikel erwähnt?,"Lisa Dillmann, eine Deutsche mit amerikanischer Staatsbürgerschaft, wird im Originalartikel als überzeugte Trump-Anhängerin erwähnt.",Fake Fact
69,2,Wie kritisieren Natalie Duval und ihre Freundin die Biden-Regierung gemäß dem Originalartikel?,"Im Originalartikel werfen Natalie Duval und ihre Freundin der Biden-Regierung totales Versagen beim Umgang mit illegalen Einwanderern, den hohen Lebenshaltungskosten und den ihrer Meinung nach zu hohen Steuern vor.",Framing
69,3,"Wie hoch war laut der CBS-Umfrage im Originalartikel der Prozentsatz der Frauen, die beabsichtigten, für Harris zu stimmen?",Laut der CBS-Umfrage im Originalartikel wollen 55 Prozent der Frauen für Harris stimmen.,Exaggeration
6,1,Was soll Donald Trump während seines Telefonats mit Wladimir Putin in Hinblick auf den Ukraine-Krieg gemacht haben?,Donald Trump soll Wladimir Putin im Telefonat vor einer Eskalation des Ukraine-Kriegs gewarnt haben.,Fake Fact
6,2,Wie wurde Donald Trumps Ansatz für den Ukraine-Konflikt im Vergleich zur aktuellen US-Regierung beschrieben?,"Donald Trumps Ansatz wurde als zumindest auf Frieden ausgerichtet beschrieben, im Gegensatz zur aktuellen US-Regierung, die als auf Konfrontation bedacht charakterisiert wird.",Framing
