artikel_id,frage_nr,frage,musterloesung,fake_news_art
6,3,Welche Möglichkeit wird als umsetzbare Lösung für Donald Trumps schnelle Beendigung des Ukraine-Kriegs erwähnt?,"Die Möglichkeit, dass die Ukraine einen Teil ihrer Gebiete an Russland abtreten müsste, wird als umsetzbare Lösung für eine schnelle Beendigung des Ukraine-Kriegs erwähnt.",Exaggeration
70,1,Welche Strategie verfolgt Kamala Harris in Hinsicht auf ihre Kampagnenmittel im Kontext des Wahlkampfs in Georgia?,"Kamala Harris fokussiert ihre Kampagnenmittel auf Georgia, um die schwarze Wählergruppe dort nahezu komplett auf ihre Seite zu ziehen.",Fake Fact
70,2,"Was ist die Einschätzung von Gillian Wallace bezüglich der Qualifikation des Kandidaten, unabhängig vom Geschlecht?","Gillian Wallace sagt über die Qualifikation: ""Ob Frau oder Mann, es geht um Qualifikation. Wer führt, der führt.""",Framing
70,3,Wie beschreibt Kanisha Jones die Situation in der East Side von Albany?,"Die East Side von Albany wird als ein besonders armes Gebiet beschrieben, in dem Straßengangs dominieren und die Kriminalitätsrate hoch ist; es gibt nur zwei Polizeistreifen für das ganze Viertel.",Exaggeration
71,1,Welche politische Position strebt Kamala Harris in der bevorstehenden Wahl an?,Kamala Harris kandidiert als Präsidentschaftskandidatin der Demokraten.,Fake Fact
71,2,Welche Aussage macht Leah Fox über ihre politische Meinungsverschiedenheit mit ihrem Ehemann?,"Leah Fox erwähnt, dass sie und ihr Ehemann nicht über Politik reden, um ihre Ehe zu schützen, und dass sie sich bereits früh entschieden hat, Trump nicht zu unterstützen.",Framing
71,3,Wie beschreibt Greg Page seine Motivation für den Haustürwahlkampf für Harris?,"Greg Page sieht den Haustürwahlkampf für Harris als wichtig an, da er überzeugt ist, dass man durch direkte Wähleransprache die Wahlen beeinflussen kann, insbesondere in den Swing States.",Exaggeration
72,1,"Wie viele Teilnehmer wurden tatsächlich bei dem Autokorso in Tucson erwartet, der von Jorge organisiert wurde?",Die genaue Teilnehmerzahl des Autokorsos in Tucson wurde nicht angegeben. Der manipulierte Artikel übertreibt jedoch mit der Zahl von über 100.000 Anmeldungen.,Fake Fact
72,2,"Welche Aspekte kritisiert Jorge an den Demokraten, die seiner Meinung nach für die Latino-Community nicht mehr relevant sind?","Jorge kritisiert, dass die Demokraten sich um ""woke culture"" und Minderheiten kümmern, während für die Latino-Community wichtige Werte wie Familie, harte Arbeit, Recht und Gesetz für sie nicht mehr zählen.",Framing
72,3,"Was glaubt Anakarina, was Harris für die USA leisten kann?","Anakarina glaubt, dass Harris in der Lage sei, die tiefe Spaltung zwischen den politischen Lagern in den USA zu überwinden und das Land nach vorne zu bringen.",Exaggeration
73,1,Bis zu welcher Schwangerschaftswoche sind Abbrüche laut dem geplanten Volksentscheid in Florida vorgesehen?,"Abbrüche wären laut dem geplanten Volksentscheid in Florida bis zur 22. Woche beziehungsweise dem Zeitpunkt erlaubt, an dem der Fötus außerhalb des Mutterleibes lebensfähig ist.",Fake Fact
73,2,Welche Bevölkerungsgruppen sind laut Studien besonders von den Abtreibungsrestriktionen in Florida betroffen?,"Latinas und Afro-Amerikanerinnen sind laut Studien besonders von den Abtreibungsrestriktionen in Florida betroffen, da sie weniger Geld verdienen und häufig nicht krankenversichert sind.",Framing
73,3,Welche Erwartung hat Murphy-Anderson in Bezug auf die zukünftige politische Ausrichtung Floridas bei Präsidentschaftswahlen?,"Murphy-Anderson erwartet, dass es Jahre dauern wird, bis Florida bei Präsidentschaftswahlen wieder demokratisch wählt.",Exaggeration
74,1,"In wie vielen US-Bundesstaaten lebten Frauen im Kontext von ""Trumps Abtreibungsverbot"" laut Kamala Harris?","Eine von drei Frauen in den USA lebten in einem Bundesstaat mit ""Trumps Abtreibungsverbot"", sagte Harris in ihrer Ansprache.",Fake Fact
74,2,Wie bezeichnete Kamala Harris das Verbot von Schwangerschaftsabbrüchen bei ihrer Ansprache in Madison?,"Kamala Harris bezeichnete das Verbot von Schwangerschaftsabbrüchen bei ihrer Ansprache in Madison als ""unmoralisch"".",Framing
74,3,Welche Bedenken äußern Ärzte bezüglich des kürzlich verabschiedeten Abtreibungsgesetzes in Georgia?,"Ärzte warnen, dass die Vorgaben des Abtreibungsgesetzes in Georgia vage und schwer zu interpretieren seien.",Exaggeration
75,1,Welche Position vertritt Melania Trump hinsichtlich des Rechts auf Abtreibung?,"Melania Trump befürwortet das Recht auf Abtreibung und betont die individuelle Freiheit der Frau, Entscheidungen über ihren eigenen Körper zu treffen.",Fake Fact
75,2,In welchem zentralen Wahlkampfthema widerspricht Melania Trump ihrem Mann Donald Trump?,Melania Trump widerspricht ihrem Mann Donald Trump im Thema des Rechts auf Abtreibung.,Framing
75,3,Welche Auswirkungen hatte die Entscheidung des Obersten Gerichtshofs auf die Abtreibungsgesetze in den Bundesstaaten?,Nach der Entscheidung des Obersten Gerichtshofs verschärften viele Bundesstaaten ihr geltendes Abtreibungsrecht.,Exaggeration
76,1,"Welche finanziellen Auswirkungen könnten Trumps Strafzölle auf die deutsche Wirtschaft haben, gemäß den Modellierungen des Instituts der deutschen Wirtschaft?","Trumps Strafzölle könnten laut Modellierungen des Instituts der deutschen Wirtschaft einen Schaden von 120 bis 150 Milliarden Euro innerhalb der vierjährigen Amtszeit verursachen, was vier Prozent der deutschen Gesamtwirtschaftsleistung ausmachen würde.",Fake Fact
76,2,Wie charakterisiert Cathryn Clüver Ashbrook Trumps wirtschaftspolitische Strategie in Bezug auf die Strafzölle?,"Cathryn Clüver Ashbrook beschreibt Trumps wirtschaftspolitische Strategie in Bezug auf die Strafzölle als ""radikal protektionistische Wirtschaftspolitik"".",Framing
76,3,Wie würde sich die Situation der deutschen Automobilindustrie unter einem Präsidenten Trump gemäß dem Experten Stefan Bratzel voraussichtlich verändern?,"Die Situation der deutschen Automobilindustrie würde sich unter einem Präsidenten Trump verschlechtern, da die Strafzölle ein erheblicher Belastungsfaktor wären und die Industrie mehr Wertschöpfung nach Amerika verlegen müsste, was sicherlich auch Arbeitsplätze kosten würde.",Exaggeration
77,1,Welche Steuerpolitik verfolgen Harris und Trump bezüglich Trinkgeld?,"Beide Präsidentschaftskandidaten, Harris und Trump, sind sich einig, keine Steuern auf Trinkgeld zu erheben.",Fake Fact
77,2,Was sind die wirtschaftlichen Prioritäten von Kamala Harris in ihrer Politik?,"Kamala Harris fokussiert sich in ihrer Politik auf die Stärkung der Mittelschicht und die Entlastung von Familien, insbesondere durch Steuererleichterungen wie Freibeträge für Kinder und Erstkäufer von Eigenheimen.",Framing
77,3,Wie bewerten Ökonomen Trumps wirtschaftliche Pläne bezüglich der Auswirkungen auf das Staatsdefizit?,"Ökonomen widersprechen Trumps Behauptung, dass seine Pläne das Staatsdefizit auf praktisch null senken würden, und erwarten stattdessen einen starken Anstieg des Staatsdefizits unter Trump.",Exaggeration
78,1,Welche Bedingungen stellt Donald Trump für ausländische Unternehmen in den USA in Bezug auf Steuervorteile und Zölle?,"Donald Trump stellt die Bedingung, dass ausländische Unternehmen in den USA produzieren und US-Amerikaner anstellen müssen, um von Steuervorteilen wie den niedrigsten Steuern, niedrigen Energiekosten und geringen Regulierungslasten zu profitieren. Andernfalls drohen hohe Einfuhrzölle.",Fake Fact
78,2,"Welche Behauptung zu Deutschland wiederholte Trump in Bezug auf Kohlekraftwerke, und wie reagierte das Auswärtige Amt darauf?","Trump wiederholte die falsche Behauptung, Deutschland sei dazu übergegangen, Kohlekraftwerke zu bauen, nachdem es aus fossilen Brennstoffen nicht erfolgreich ausgestiegen ist. Das Auswärtige Amt reagierte mit der Klarstellung, dass das deutsche Energiesystem funktionsfähig sei und dass Deutschland Kohle- und Atomkraftwerke abschalte, nicht baue.",Framing
78,3,Wie ist der aktuelle Zustand des deutschen Energiesystems laut dem Auswärtigen Amt?,"Das Auswärtige Amt erklärte, dass das deutsche Energiesystem voll funktionsfähig sei, mit mehr als 50 Prozent erneuerbarer Energien, und dass Kohle- und Atomkraftwerke abgeschaltet werden, anstatt neue gebaut zu werden. Spätestens bis 2038 soll die Kohleverstromung beendet sein.",Exaggeration
79,1,"Welche Argumentation verwendet Donald Trump, um ein Mitspracherecht des US-Präsidenten bei geldpolitischen Entscheidungen der Federal Reserve zu fordern?","Donald Trump argumentiert, dass er aufgrund seines Erfolgs und seines unternehmerischen Instinkts ein besseres Verständnis für Finanzentscheidungen habe als die Personen, die in der Federal Reserve arbeiten, und fordert deshalb ein Mitspracherecht des Präsidenten bei geldpolitischen Entscheidungen.",Fake Fact
79,2,"Wie hat sich Donald Trump in der Vergangenheit zur Geldpolitik geäußert, insbesondere in Bezug auf die Entscheidungen der Federal Reserve?","Trump hat mehrfach seine Frustration über den begrenzten Einfluss der Administration auf die Geldpolitik zum Ausdruck gebracht und den Notenbankchef Jerome Powell dafür kritisiert, dass Zinsentscheidungen entweder „ein klein bisschen zu früh und ein klein bisschen zu spät“ getroffen werden.",Framing
79,3,Welche konkreten wirtschaftlichen Folgen können politische Eingriffe in die Unabhängigkeit der Federal Reserve laut dem Artikel haben?,"Politische Eingriffe könnten tendenziell zu nachhaltig niedrigeren Zinsniveaus führen, was eine stärkere Geldentwertung nach sich ziehen und die Position des US-Dollars als Weltreservewährung schwächen würde.",Exaggeration
7,1,Was hat der britische Außenminister David Lammy im Jahr 2019 über Donald Trump getwittert?,"Der britische Außenminister David Lammy twitterte im Jahr 2019 über Donald Trump: ""Unehrlich, verblendet, ausländerfeindlich, narzisstisch - Donald Trump ist kein Freund von Großbritannien.""",Fake Fact
7,2,Wie wurde Donald Trumps Verhalten während des Abendessens mit David Lammy und Keir Starmer beschrieben?,"Während des Abendessens mit David Lammy und Keir Starmer wurde Donald Trumps Verhalten als großzügig, sehr freundlich, darum bemüht beschrieben, dass es den Gästen gut ging, witzig, Großbritannien zugewandt und schwärmend von der Königsfamilie.",Framing
7,3,"Welche Verteidigungsausgaben plant die Labour-Regierung, um das NATO-Ziel zu übertreffen?","Die Labour-Regierung plant die Verteidigungsausgaben auf 2,5 Prozent der jährlichen Wirtschaftsleistung auszuweiten, um das NATO-Ziel von 2 Prozent zu übertreffen.",Exaggeration
80,1,"Wie viel Geld hat Elon Musk angekündigt, täglich bis zur Wahl an einen registrierten Wähler zu vergeben?","Elon Musk hat angekündigt, täglich eine Million Dollar an einen registrierten Wähler zu vergeben.",Fake Fact
80,2,"Wie beurteilt Rechtsprofessor Rick Hasen die Tatsache, dass nur registrierte Wähler an der Aktion teilnehmen können?","Rechtsprofessor Rick Hasen sieht ein Problem darin, dass nur registrierte Wähler an der Aktion teilnehmen können, da dies als Anreiz zur Registrierung interpretiert werden könnte.",Framing
80,3,Was beabsichtigt Trump mit Elon Musk im Fall seines Wahlsiegs in Bezug auf die Regierungsausgaben?,"Trump hat angedeutet, dass er Elon Musk im Fall seines Wahlsiegs an die Spitze eines Gremiums zur Überprüfung der US-Finanzen setzen könnte, um die Regierungsausgaben zu kürzen.",Exaggeration
81,1,Welche Pläne wurden im jüngsten Werbespot der Kampagne von Kamala Harris und Tim Walz in Bezug auf Donald Trump erwähnt?,"Im jüngsten Werbespot der Kampagne von Kamala Harris und Tim Walz wird vor Donald Trumps ""Project 2025"" gewarnt, einem Plan, der ihm bei einer Rückkehr ins Weiße Haus mehr Macht und Einfluss verschaffen würde.",Fake Fact
81,2,Was war einer der Auswirkungen des Rückzugs von Joe Biden auf den Wahlkampf der Demokraten?,"Seit Joe Bidens Rückzug von der Kandidatur erlebten die Demokraten eine nie dagewesene Spendenwelle, die über 540 Millionen Dollar in die Kassen spülte.",Framing
81,3,Warum ist persönlicher Kontakt im Wahlkampf wichtiger als Fernsehspots?,"Personalisierte Strategien wie persönlicher Kontakt sind wichtiger als Fernsehspots, weil der persönliche Kontakt als effektiver für die Wählerbindung erkannt wurde.",Exaggeration
82,1,In welcher Wählergruppe hat Kamala Harris laut Umfragen einen deutlichen Vorsprung gegenüber Donald Trump?,Kamala Harris hat in der Gruppe der jungen Frauen einen deutlichen Vorsprung gegenüber Donald Trump.,Fake Fact
82,2,Wie wird Donald Trumps Verkauf von Sneakern in diesem Wahljahr im Originalartikel beschrieben?,"Im Originalartikel wird berichtet, dass Donald Trump in diesem Wahljahr goldene Sneaker verkauft hat, ohne spezielle Bewertung oder zusätzlichen Kontext.",Framing
82,3,"Welche politischen Themen sind für den 20-jährigen Domenic ein Grund, zu Kamala Harris zu tendieren?","Domenic tendiert zu Kamala Harris, weil sie sich für strengere Waffenkontrollen einsetzen würde.",Exaggeration
83,1,Wie viele Tage verbleiben bis zur Wahl laut Kamala Harris' Aussage im Originalartikel?,"Kamala Harris sagte, dass noch 106 Tage bis zur Wahl verbleiben.",Fake Fact
83,2,Welche Bedeutung hat das limettengrüne Banner mit den schwarzen Buchstaben laut dem Originalartikel?,Die Grafik mit dem limettengrünen Hintergrund und den schwarzen Buchstaben ist eine Anspielung auf ein Album der britischen Popkünstlerin Charli XCX.,Framing
83,3,Wie reagierte das Publikum nach dem Erscheinen von Kamala Harris auf der Bühne laut dem Originalartikel?,"Laut dem Originalartikel wurde Kamala Harris von den Helfern gefeiert, als sie auf die Bühne kam.",Exaggeration
84,1,Wie viele Menschen folgen dem TikTok-Account von Ex-Präsident Donald Trump laut Originalartikel?,Mehr als sieben Millionen Menschen folgen dem TikTok-Account von Ex-Präsident Donald Trump.,Fake Fact
84,2,Welche Sicht vertritt Andrew Selepak bezüglich der Bedeutung von Social-Media-Followern für politische Macht?,"Andrew Selepak vertritt die Ansicht, dass Social-Media-Follower nicht gleichbedeutend mit politischer Macht sind.",Framing
84,3,Wie viele junge Menschen in den USA haben laut dem Originalartikel die Debatte zwischen Biden und Trump live im Fernsehen verfolgt?,"Nur knapp 4,5 Millionen der etwa 70 Millionen 18- bis 34-Jährigen haben die Debatte live im Fernsehen verfolgt.",Exaggeration
85,1,"Welche Sorgen haben junge Demokraten hinsichtlich der Fähigkeit Bidens, Donald Trump in den Wahlen im November zu besiegen?","Junge Demokraten befürchten, dass Biden zu alt und zu weit weg von den Menschen ist, um seinen Herausforderer Donald Trump bei den Wahlen im November besiegen zu können.",Fake Fact
85,2,Was schlägt Christina Cover angesichts ihrer Enttäuschung über Bidens Wahlkampfstrategie vor?,"Christina Cover schlägt vor, die Strategie zu ändern und jemanden aufzustellen, der beliebt ist und für die Demokraten antreten kann.",Framing
85,3,Wie stehen junge Republikaner zur Unterstützung Trumps trotz seiner rechtlichen Probleme und kritischen Aussagen?,"Junge Republikaner stehen fest hinter Trump und verzeihen ihm seine Lügen, Gerichtsverfahren und seine Drohungen, da sie ihn als einen echten New Yorker sehen, der schonungslos und geradeheraus ist.",Exaggeration
86,1,"Wie viele junge Menschen in den USA gehören zur Generation Z und sind in der Lage, an Wahlen teilzunehmen?","Zur Generation Z in den USA gehören knapp 41 Millionen junge Menschen im Alter von 18 bis 27 Jahren, die in der Lage sind, an Wahlen teilzunehmen.",Fake Fact
86,2,"Welche Hürden bestehen in den USA für junge Wähler, die an Wahlen teilnehmen möchten?","Zu den Hürden für junge Wähler in den USA zählen die Notwendigkeit einer aktiven Registrierung zur Wahlberechtigung, das komplizierte Wahlsystem, hohe bürokratische Hürden und Wahllokale, die oft weit vom Wohnort entfernt sind.",Framing
86,3,"Wie hoch ist der Anteil der US-Amerikaner, die bereit sind, Gewalt zur Durchsetzung ihrer politischen Meinung anzuwenden?","Acht Prozent der US-Amerikaner geben an, willens zu sein, Gewalt einzusetzen, um ihre politische Meinung durchzusetzen.",Exaggeration
87,1,"Wie viele Menschen waren laut den Passanten im Artikel fest davon überzeugt, dass Kamala Harris die nächste Präsidentin sein wird?","Im Artikel wird nicht genannt, wie viele Menschen überzeugt sind, dass Kamala Harris die nächste Präsidentin sein wird. Dies war lediglich die Hoffnung eines einzelnen Passanten im Dialog mit der Aktionskünstlerin.",Fake Fact
87,2,"Welche Botschaft sandte Peggy an die potenziellen zukünftigen Präsidenten oder Präsidentinnen, und warum war ihr diese Botschaft wichtig?","Peggy sandte die Botschaft, dass zukünftige Präsidenten oder Präsidentinnen den Stimmen der Bevölkerung zuhören und die Wahrheit sagen sollen. Diese Botschaft war ihr wichtig, unabhängig davon, wer gewählt wird, um eine ehrliche und repräsentative Führung sicherzustellen.",Framing
87,3,"Bis wann und warum plant Sheryl Oring, mit ihrer Performance quer durch die USA zu reisen?","Sheryl Oring plant, bis 100 Tage nach der Amtseinführung des nächsten Präsidenten oder der nächsten Präsidentin durch die USA zu reisen, um Menschen mit ihrer Performance über ihre eigenen politischen Wünsche und Erwartungen nachdenken zu lassen.",Exaggeration
88,1,"Welche Mengenverpflichtung hat Jean-Claude Juncker bezüglich des Sojabohnenkaufs gemacht, um einen Handelskonflikt mit den USA zu entschärfen?","Jean-Claude Juncker machte lediglich ein eher unverbindliches Versprechen, dass die EU mehr Flüssiggas und Sojabohnen kaufen werde, um einen Handelskonflikt zu entschärfen.",Fake Fact
88,2,Wie beschreibt Gabriel Felbermayr vom Österreichischen Institut für Wirtschaftsforschung das Erbe von Donald Trump in Bezug auf den Welthandel?,"Gabriel Felbermayr vom Österreichischen Institut für Wirtschaftsforschung beschreibt das Erbe von Donald Trump als eine Ruinierung des regelbasierten Welthandels und des Vertrauens darauf, dass Regeln eingehalten werden.",Framing
88,3,Welche ökonomischen Risiken könnte eine zweite Trump-Amtszeit laut dem arbeitgebernahen Institut der Deutschen Wirtschaft mit sich bringen?,Laut dem arbeitgebernahen Institut der Deutschen Wirtschaft droht ein Verlust von bis zu 180 Milliarden Euro für Deutschland am Ende einer vierjährigen Trump-Amtszeit.,Exaggeration
89,1,"Was waren einige der Gründe für die Besorgnis der NATO während der Trump-Präsidentschaft, die in den NATO-Hauptquartieren für Anspannung sorgten?","Während der Trump-Präsidentschaft herrschte im NATO-Hauptquartier Besorgnis, weil Trump als unberechenbar galt und Alleingänge unternahm. Er ließ die Alliierten im Stich und sorgte in Regionen wie Syrien, Irak und Afghanistan für Unruhe.",Fake Fact
89,2,Wie hat Jean-Claude Juncker die Haltung von Donald Trump gegenüber Europa beschrieben?,"Jean-Claude Juncker beschrieb Trumps Haltung gegenüber Europa damit, dass Trump die Europäer nie als Alliierte empfunden habe, sondern als Gestalten, die Amerika nichts Gutes wollen.",Framing
89,3,"Was sind einige der militärischen und politischen Herausforderungen, die eine zweite Amtszeit von Donald Trump für die NATO darstellen könnte?","Eine zweite Amtszeit von Trump könnte laut Marco Overhaus zu einer sehr schweren Vorbereitungssituation führen, falls Trump die USA aus der NATO herausführt oder die amerikanischen Truppen in großer Zahl aus Europa abzieht. Es gibt auch politische Bedenken, wie die Möglichkeit, dass Washington anfängt, NATO-Verbündete gegeneinander auszuspielen.",Exaggeration
8,1,Welche Rolle wurde Elon Musk in der künftigen Trump-Regierung zugedacht und mit welcher Art von Unternehmen ist er hauptsächlich verbunden?,"Elon Musk sollte in der künftigen Trump-Regierung gemeinsam mit Vivek Ramaswamy die Führung der Abteilung für ""Regierungseffizienz"" übernehmen. Er ist hauptsächlich mit Unternehmen im Bereich des Automobilsektors (Tesla) und der Raumfahrt (SpaceX) verbunden.",Fake Fact
8,2,Warum kommentierte ein Vertreter des Pentagon die Ernennung von Pete Hegseth mit „Alle sind einfach schockiert“?,"Der Pentagon-Vertreter drückte Schock aus, weil Pete Hegseth keine politische Erfahrung oder Erfahrungen im Bereich der nationalen Sicherheit mitbringt, obwohl er als Moderator des TV-Senders Fox News bekannt ist.",Framing
8,3,"Mit welchen Aufgaben soll die von Trump geplante Abteilung für ""Regierungseffizienz"" betraut werden?","Die geplante Abteilung für ""Regierungseffizienz"" soll Aufgaben übernehmen wie das Abbau der Regierungsbürokratie, das Streichen von überflüssigen Vorschriften, die Reduzierung von verschwenderischen Ausgaben und die Umstrukturierung der Bundesbehörden.",Exaggeration
90,1,Wer ist der größte Geldgeber der Vereinten Nationen und welche Befürchtungen existieren bei einem Wahlsieg Trumps?,"Die USA sind der größte Geldgeber der Vereinten Nationen. Bei einem Wahlsieg Trumps besteht die Befürchtung, dass er die Finanzmittel für die UN kürzen könnte, was eine riesige Budgetkrise verursachen würde.",Fake Fact
90,2,Wie schätzt Kamala Harris die Bedeutung der Arbeit der Vereinten Nationen ein und welche Pläne verfolgt sie im Hinblick auf die UN?,"Kamala Harris schätzt die Arbeit der Vereinten Nationen und sie würde Bidens Bemühungen fortsetzen, die UN zu modernisieren, damit sie die Welt von heute besser repräsentieren kann.",Framing
90,3,Wie beschreibt Richard Gowan die Bedeutung der US-Präsidentenwahl für die UN und welche konkreten Maßnahmen Trumps werden am meisten befürchtet?,"Richard Gowan erklärt, dass die US-Präsidentenwahl erhebliche Bedeutung für die Arbeit der Vereinten Nationen hat. Die Nervosität ist groß, da Donald Trump internationale Organisationen und multilaterale Zusammenarbeit ablehnt. Es wird befürchtet, dass er erneut den Rückzug aus der Weltgesundheitsorganisation, dem UN-Menschenrechtsrat und dem Pariser Klimaschutzabkommen betreiben könnte.",Exaggeration
91,1,Welche Länder unterstützen laut dem Originalartikel die israelische Reaktion auf den iranischen Raketenangriff?,"Laut dem Originalartikel sind alle G7-Staaten der Meinung, dass Israel das Recht habe, auf den iranischen Raketenangriff zu antworten, aber die Antwort sollte verhältnismäßig sein.",Fake Fact
91,2,Wie wird Bidens Haltung zu einem israelischen Angriff im Originalartikel charakterisiert?,"Im Originalartikel wird Bidens Haltung als zurückhaltend und abwägend dargestellt, indem er einen israelischen Angriff nicht unterstützt und meint, dass die Antwort verhältnismäßig sein sollte.",Framing
91,3,"Welche Maßnahmen wurden laut dem Originalartikel getroffen, um eine weitere Eskalation zu verhindern?","Laut dem Originalartikel laufen internationale Bemühungen, eine weitere Eskalation zu verhindern, nachdem der israelische Regierungschef Netanyahu Vergeltung angekündigt hat.",Exaggeration
92,1,Was kritisierte Kamala Harris in Bezug auf die Forderungen von Donald Trump zur Ukraine?,"Kamala Harris kritisierte die Forderungen von Donald Trump, dass die Ukraine sich zügig auf ein Abkommen mit Russland einlassen solle, und bezeichnete diese als gefährliche und inakzeptable Kapitulationsvorschläge.",Fake Fact
92,2,Wie hat sich Trump über den ukrainischen Staatschef Selenskyj bei einer Wahlkampfveranstaltung geäußert?,Trump äußerte sich recht abschätzig über den ukrainischen Staatschef Selenskyj bei einer Wahlkampfveranstaltung im Bundesstaat North Carolina.,Framing
92,3,Welche Zusicherungen machte Joe Biden bezüglich weiterer Militärhilfen für die Ukraine?,"Joe Biden sagte weitere Militärhilfen in Form eines großen Hilfspakets im Wert von umgerechnet fast acht Milliarden Euro zu, das unter anderem ein weiteres ""Patriot""-Flugabwehrsystem, Artilleriemunition, Drohnen und Gleitbomben enthält.",Exaggeration
93,1,Welche Maßnahmen hat die US-Regierung gegen den russischen Staatssender RT als Reaktion auf die Wahlbeeinflussung ergriffen?,"Die US-Regierung hat Sanktionen erlassen, strafrechtliche Anklagen erhoben und die Beschlagnahme von Internet-Domains angeordnet.",Fake Fact
93,2,Wie hat Justizminister Merrick Garland die Rolle der russischen Medien bei der Beeinflussung der US-Wahlen beschrieben?,"Merrick Garland hat beschrieben, dass der Kreml ahnungslose Influencer aus den USA dazu gebracht hat, die eigene Propaganda zu übernehmen.",Framing
93,3,Welche Tools wurden laut Finanzministerium von staatlich unterstützten Akteuren zur Untergrabung des Vertrauens in US-Wahlprozesse verwendet?,"Laut Finanzministerium wurden Künstliche Intelligenz, Deep Fakes und gezielte Desinformationen verwendet, um das Vertrauen in die Prozesse und Institutionen rund um US-Wahlen zu untergraben.",Exaggeration
94,1,Welche unbegründete Behauptung bezogen auf Einwanderer in Ohio hat Donald Trump während des TV-Duells aufgestellt und wurde im Originalartikel erwähnt?,"Donald Trump hatte während des TV-Duells eine unbegründete Behauptung aufgegriffen, laut der Einwanderer im US-Bundesstaat Ohio die Haustiere ihrer Nachbarn essen. Für diese Behauptung gibt es keine Belege, wie auch der Moderator klargestellt hat.",Fake Fact
94,2,Wie arbeitet Louis Jacobson als Journalist und Faktenchecker im Zusammenhang mit Politiker-Aussagen?,"Louis Jacobson arbeitet als Journalist und Faktenchecker, indem er Aussagen von Politikerinnen und Politikern aller Parteien auf ihre Richtigkeit überprüft. Er und sein Team stellen fest, dass die meisten Politiker nicht die ganze Wahrheit sagen, indem sie übertreiben, beschönigen oder unangenehme Details weglassen.",Framing
94,3,"Welche Art von Ausrüstung haben die Wahllokale in Georgia, um bei spezifischen Notfällen zu helfen, und was war der im Artikel angegebene Grund dafür?","Die Wahllokale in Georgia sind mit Narcan ausgestattet, einem Mittel, das bei Opioid-Überdosen Leben retten kann. Diese Maßnahme wurde ergriffen, weil man fürchtet, dass absichtlich mit Drogen präparierte Briefe aus Frust über die Wahlen versendet werden könnten.",Exaggeration
95,1,Welche Maßnahmen hat Meta weltweit gegen RT und andere russische Staatsmedien ergriffen?,"Meta hat RT und andere russische Staatsmedien weltweit aus den Apps des Unternehmens, darunter Facebook, Instagram, WhatsApp und Threads, verbannt, um gegen Desinformation und russische Propaganda vorzugehen.",Fake Fact
95,2,Wie hat Meta seinen Schritt gegen die russischen Staatsmedien begründet?,"Meta hat den Schritt mit dem Vorwurf der ""ausländischen Einflussnahme"" begründet, da die genannten Medien gezielte Desinformationskampagnen betreiben und die Kontrollmechanismen der Social-Media-Plattformen zu umgehen versuchen.",Framing
95,3,Wie ist der aktuelle Status von RT auf der Plattform X außerhalb der EU?,Auf der Plattform X (ehemals Twitter) sind die RT-Accounts unterdessen außerhalb der EU und einiger anderer Länder weiterhin verfügbar.,Exaggeration
9,1,Welche Rolle hat Mike Waltz in Bezug auf den Kurs der USA gegenüber China und der Ukraine gespielt?,Mike Waltz ist als Verfechter eines harten Kurses gegenüber China bekannt und forderte ein Umdenken bei der US-Unterstützung der Ukraine im russischen Angriffskrieg.,Fake Fact
9,2,Wie wurde Mike Waltz' Meinung zu China im Originalartikel beschrieben?,"Im Originalartikel wurde Mike Waltz' Haltung als hart gegenüber China beschrieben, ohne den heroischen Charakter, der im manipulierten Artikel suggeriert wird.",Framing
9,3,Wie wurde die mögliche Ernennung von Marco Rubio als Außenminister im Originalartikel charakterisiert?,"Die mögliche Ernennung von Marco Rubio als Außenminister wurde im Originalartikel beschrieben als noch nicht endgültig entschieden, jedoch mit der Feststellung, dass der künftige Präsident sich auf seine Ernennung festgelegt zu haben schien.",Exaggeration
